,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
124,Non-Rural,58,68,61,,,Deakin University,6.854,The University of Wollongong,6.854,Griffith University,6.729,The University of Notre Dame Sydney,6.854,Australian National University,6.854,The University of Notre Dame Fremantle,6.854,4th,0,Did not apply,0.0,0.0,0.0,0.0,0
125,Non-Rural,66,75,98,Australian National University,6.2,The University of Melbourne,6.063,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,Yes,0.0,0.0,0.0,0
126,Non-Rural,66,52,78,Australian National University,6.903,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2nd,0,0.0,0.0,0.0,0.0,0.0,0
127,Non-Rural,68,80,73,The University of Notre Dame Sydney,6.802,The University of Wollongong,6.802,,,0.0,,0.0,,0.0,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,1
128,Rural,59,60,74,The University of Western Australia,6.7,,,,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
129,Non-Rural,77,75,71,The University of Melbourne,6.895,,,,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,No,0.0,0.0,0.0,0
130,Non-Rural,69,63,86,The University of Melbourne,6.955,,,,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,No,0.0,0.0,0.0,0
131,Non-Rural,56,73,74,The University of Western Australia,6.958,,,,,0.0,,0.0,,0.0,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,0
132,Non-Rural,70,65,69,The University of Notre Dame Fremantle,6.371,,,,,0.0,,0.0,,0.0,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,0
133,Rural,64,71,63,The University of Melbourne,5.85,,,,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,Yes,0.0,0.0,0.0,0
134,Rural,57,72,55,The University of Queensland (RMP/DDMP),5.85,,,,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,Tier 2,Toowoomba,0
135,Rural,65,64,65,The University of Notre Dame Sydney,6.01,,,,,0.0,,0.0,,0.0,,0.0,,2nd,0,0.0,0.0,0.0,0.0,0.0,0
136,Non-Rural,65,79,62,The University of Melbourne,6.963,,,,,0.0,,0.0,,0.0,,0.0,,4th,0,0.0,No,0.0,0.0,0.0,0
137,Non-Rural,69,78,78,,,The University of Melbourne,6.6,Deakin University,6.3,0.0,,0.0,,0.0,,0.0,,0.0,0,Did not apply,Yes,0.0,0.0,0.0,0
138,Non-Rural,56,71,81,The University of Melbourne,6.925,,,,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,No,0.0,0.0,0.0,0
139,Non-Rural,61,70,78,The University of Melbourne,6.925,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2nd,0,0.0,No,0.0,0.0,0.0,0
140,Non-Rural,65,64,63,The University of Western Australia,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3rd,0,0.0,0.0,0.0,0.0,0.0,0
141,Rural,67,66,84,The University of Melbourne,6.946,,,,,,,0.0,,0.0,,0.0,,3rd,0,0.0,No,0.0,0.0,0.0,0
142,Non-Rural,73,85,95,The University of Melbourne,6.713,,,,,,,0.0,,0.0,,0.0,,0.0,0,0.0,No,0.0,0.0,0.0,0
143,Non-Rural,58,70,75,The University of Notre Dame Sydney,6.25,,,,,,,0.0,,0.0,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,0
144,Non-Rural,65,63,71,The University of Western Australia,6.83.,The University of Wollongong,6.83.,The University of Notre Dame Sydney,6.83.,The University of Notre Dame Fremantle,6.83.,0.0,,0.0,,0.0,,2nd,0,0.0,0.0,0.0,0.0,0.0,4
145,Non-Rural,68,65,71,The University of Melbourne,7,,,,,,,0.0,,0.0,,0.0,,3rd,0,0.0,No,0.0,0.0,0.0,0
146,Rural,64,80,63,Griffith University,6.685,,,,,,,0.0,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
147,Non-Rural,61,61,68,The University of Wollongong,6.55,,,,,,,0.0,,0.0,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,4
148,Non-Rural,60,77,60,Deakin University,6.7,The University of Melbourne,6.7,,,,,0.0,,0.0,,0.0,,3rd,8,Did not apply,Yes,0.0,0.0,0.0,0
149,No   ural,68,73,73,The University of Melbourne,6.667,The University of Queensland (Greater Brisbane),6.264,,,,,0.0,,0.0,,0.0,,0.0,0,0.0,No,0.0,0.0,0.0,0
150,Non-Rural,68,71,74,The University of Melbourne,6.986,,,,,,,0.0,,0.0,,0.0,,3rd,0,0.0,Yes,0.0,0.0,0.0,0
151,Non-Rural,69,72,78,The University of Melbourne,7,,,,,,,0.0,,0.0,,0.0,,0.0,0,0.0,No,0.0,0.0,0.0,0
152,Non-Rural,77,76,73,The University of Notre Dame Sydney,6.852,,,,,,,0.0,,0.0,,0.0,,3rd,0,0.0,0.0,0.0,0.0,0.0,0
153,Non-Rural,61,72,78,The University of Notre Dame Sydney,6.906,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3rd,0,0.0,0.0,0.0,0.0,0.0,0
154,Non-Rural,62,78,68,The University of Melbourne,6.811,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4th,0,0.0,No,0.0,0.0,0.0,0
155,Rural,63,57,59,The University of Western Australia,5.57,,,,,,,0.0,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
156,Rural,61,84,76,The University of Melbourne,6.9,,,,,,,0.0,,0.0,,0.0,,4th,0,0.0,No,0.0,0.0,0.0,0
157,Non-Rural,70,65,71,The University of Queensland (Greater Brisbane),7,,,,,,,0.0,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
158,Non-Rural,65,55,68,The University of Wollongong,6.64,,,,,,,0.0,,0.0,,0.0,,3rd,0,0.0,0.0,0.0,0.0,0.0,4
159,Non-Rural,63,61,76,Deakin University,6.75,The University of Queensland (RMP/DDMP),6.648,Griffith University,6.65,The University of Melbourne,6.733,0.0,,0.0,,0.0,,0.0,4,Did not apply,No,0.0,Tier 3,Toowoomba,0
160,Non-Rural,83,67,66,The University of Melbourne,6.762,,,,,,,0.0,,0.0,,0.0,,0.0,0,0.0,Yes,0.0,0.0,0.0,0
161,Non-Rural,65,71,90,The University of Melbourne,6.746,,,,,,,0.0,,0.0,,0.0,,4th,0,0.0,No,0.0,0.0,0.0,0
162,Non-Rural,63,81,79,The University of Melbourne,7,,,,,,,0.0,,0.0,,0.0,,0.0,0,0.0,No,0.0,0.0,0.0,0
163,No   ural,59,69,65,The University of Queensland (RMP/DDMP),7,,,,,,,0.0,,0.0,,0.0,,3rd,0,0.0,0.0,0.0,Tier 3,Toowoomba,0
164,Non-Rural,57,67,66,Deakin University,6.833,,,,,,,0.0,,0.0,,0.0,,4th,8,Did not apply,0.0,0.0,0.0,0.0,0
165,Rural,55,71,64,Griffith University,6.72,,,,,,,0.0,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
166,Non-Rural,57,1,75,The University of Western Australia,6.979,Australian National University,6.99,The University of Queensland (RMP/DDMP),6.979,Griffith University,6.979,0.0,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,Tier 3,Rockhampton,0
167,Non-Rural,60,67,79,Macauarie University,6.115,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
168,Non-Rural,53,67,72,The University of Queensland (Greater Brisbane),7,The University of Melbourne,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,No,0.0,0.0,0.0,0
169,Non-Rural,66,63,83,The University of Western Australia,6.542,The University of Notre Dame Sydney,6.51,Australian National University,6.51,0.0,,0.0,,0.0,,0.0,,3rd,0,0.0,0.0,0.0,0.0,0.0,0
170,Non-Rural,62,73,94,The University of Melbourne,6.604,,,,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,Yes,0.0,0.0,0.0,0
171,Non-Rural,1,55,76,,,The University of Melbourne,6.8,,,0.0,,0.0,,0.0,,0.0,,Ast,0,0.0,Yes,0.0,0.0,0.0,0
172,Non-Rural,61,68,78,The University of Melbourne,6.886,,,,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,No,0.0,0.0,0.0,0
173,Rural,61,55,1,Australian National University,6.134,,,,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
174,Non-Rural,69,72,77,The University of Western Australia,65,,,,,0.0,,0.0,,0.0,,0.0,,3rd,0,0.0,0.0,0.0,0.0,0.0,0
175,Non-Rural,64,74,60,The University of Queensland (Greater Brisbane),7,,,,,0.0,,0.0,,0.0,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,0
176,Rural,59,60,84,The University of Melbourne,6.55,,,,,0.0,,0.0,,0.0,,0.0,,4th,0,0.0,No,0.0,0.0,0.0,0
177,No   ural,65,71,64,The University of Wollongong,6.698,,,,,0.0,,0.0,,0.0,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,2
178,Non-Rural,58,69,83,The University of Melbourne,6.9,,,,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,No,0.0,0.0,0.0,0
179,Non-Rural,56,78,70,The University of Notre Dame Sydney,6.33.,,,,,0.0,,0.0,,0.0,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,0
180,Non-Rural,63,80,56,The University of Notre Dame Fremantle,6.6,,,,,0.0,,0.0,,0.0,,0.0,,3rd,0,0.0,0.0,0.0,0.0,0.0,0
181,Non-Rural,67,72,77,The University of Western Australia,6.521,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Ath,0,0.0,0.0,0.0,0.0,0.0,0
182,Non-Rural,63,62,70,The University of Queensland (RMP/DDMP),7,The University of Wollongong,6.631,The University of Notre Dame Fremantle,6.631,0.0,,0.0,,0.0,,0.0,,2nd,0,0.0,0.0,0.0,Tier 3,Bundaberg,1
183,Non-Rural,60,60,83,The University of Notre Dame Sydney,6.501,,,,,,,,,,,,,4th,0,0.0,0.0,0.0,0.0,0.0,0
184,Non-Rural,63,86,71,The University of Melbourne,6.95,,,,,,,,,,,,,0.0,0,0.0,No,0.0,0.0,0.0,0
185,Non-Rural,57,71,64,The University of Queensland (Greater Brisbane),7,,,,,,,,,,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
186,Non-Rural,60,60,66,,,The University of Wollongong,6.208,The University of Notre Dame Sydney,6.208,The University of Queensland (RMP/DDMP),7,Australian National University,6.208,Deakin University,6.198,Macquarie University,6.177,4th,2,Did not apply,0.0,0.0,Tier 3,Rockhampton,4
187,Non-Rural,73,78,69,The University of Melbourne,6.886,,,,,,,,,,,,,0.0,0,0.0,Yes,0.0,0.0,0.0,0
188,Non-Rural,60,72,57,,,The University of Wollongong,6.881,Macquarie University,6.881,The University of Notre Dame Sydney,6.881,Australian National University,6.881,,,,,4th,0,0.0,0.0,0.0,0.0,0.0,4
189,Non-Rural,78,69,84,Australian National University,6.885,,,,,,,,,,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
190,Non-Rural,65,63,63,The University of Queensland (RMP/DDMP),7,,,,,,,,,,,,,4th,0,0.0,0.0,0.0,Tier 3,Toowoomba,0
191,Rural,62,73,58,Australian National University,5.676,,,,,,,,,,,,,4th,0,0.0,0.0,0.0,0.0,0.0,0
192,Non-Rural,63,72,81,The University of Melbourne,6.858,,,,,,,,,,,,,0.0,0,0.0,No,0.0,0.0,0.0,0
193,Non-Rural,61,64,87,The University of Melbourne,6.9,,,,,,,,,,,,,0.0,0,0.0,Yes,0.0,0.0,0.0,0
194,Non-Rural,71,70,68,The University of Queensland (Greater Brisbane),6.589,,,,,,,,,,,,,4th,0,0.0,0.0,0.0,0.0,0.0,0
195,Non-Rural,61,78,64,0.0,,The University of Notre Dame Sydney,6.58,Australian National University,6.58,The University of Wollongong,6.58,The University of Melbourne,6.525,0.0,,0.0,,2nd,0,0.0,No,0.0,0.0,0.0,0
196,Rural,61,71,62,The University of Melbourne,5.867,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,No,0.0,0.0,0.0,0
197,Non-Rural,70,62,74,The University of Western Australia,6.896,,,,,,,,,,,,,3rd,0,0.0,0.0,0.0,0.0,0.0,0
198,Non-Rural,73,79,74,The University of Melbourne,6.4,,,,,,,,,,,,,4th,0,0.0,No,0.0,0.0,0.0,0
199,Non-Rural,63,75,73,Deakin University,6.735,The University of Melbourne,6.682,,,,,,,,,,,4th,2,Did not apply,No,0.0,0.0,0.0,0
200,Non-Rural,60,65,67,The University of Western Australia,6.818,The University of Notre Dame Sydney,6.74,Australian National University,6.74,The University of Notre Dame Fremantle,6.74,Griffith University,6.74,Macquarie University,6.74,,,2nd,0,0.0,0.0,0.0,0.0,0.0,0
201,Non-Rural,61,54,74,,,The University of Melbourne,6.9,,,,,,,,,,,2nd,0,0.0,Yes,0.0,0.0,0.0,0
202,Non-Rural,56,79,80,The University of Melbourne,6.921,,,,,,,,,,,,,0.0,0,0.0,No,0.0,0.0,0.0,0
203,Non-Rural,71,80,92,The University of Queensland (Greater Brisbane),6.975,,,,,,,,,,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
204,Non-Rural,59,66,84,The University of Melbourne,7,,,,,,,,,,,,,3rd,0,0.0,No,0.0,0.0,0.0,0
205,No   ural,54,79,65,,,The University of Melbourne,6.771,Deakin University,6.958,The University of Notre Dame Sydney,6.917,The University of Queensland (Greater Brisbane),6.6,Griffith University,6.542,Australian National University,6.917,2nd,0,Did not apply,Yes,0.0,0.0,0.0,0
206,Non-Rural,63,63,70,The University of Western Australia,7,,,,,,,,,,,,,3rd,0,0.0,0.0,0.0,0.0,0.0,0
207,Non-Rural,59,83,76,The University of Western Australia,6.708,,,,,,,,,,,,,4th,0,0.0,0.0,0.0,0.0,0.0,0
208,Non-Rural,63,70,72,Macquarie University,6.45,The University of Wollongong,6.45,The University of Notre Dame Fremantle,6.45,The University of Notre Dame Sydney,6.45,Australian National University,6.45,Griffith University,6.45,,,2nd,0,0.0,0.0,0.0,0.0,0.0,4
209,Non-Rural,61,76,68,0.0,,The University of Melbourne,6.443,Australian National University,6.625,Deakin University,6.813,The University of Western Australia,6.556,The University of Queensland (Greater Brisbane),6.474,Griffith University,6.375,0.0,0,Did not apply,No,0.0,0.0,0.0,0
210,Non-Rural,62,61,82,The University of Queensland (Greater Brisbane),6.938,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
211,Non-Rural,68,76,59,The University of Queensland (RMP/DDMP),7,The University of Wollongong,6.594,,,,,,,,,,,4th,0,0.0,0.0,0.0,Tier 3,Toowoomba,1
212,Non-Rural,62,63,77,The University of Queensland (RMP/DDMP),6.789,The University of Melbourne,6.746,The University of Notre Dame Sydney,6.774,,,,,,,,,2nd,0,0.0,No,0.0,Tier 3,Toowoomba,0
213,Rural,67,78,57,The University of Notre Dame Sydney,5.29,,,,,,,,,,,,,3rd,0,0.0,0.0,0.0,0.0,0.0,0
214,Non-Rural,67,70,67,The University of Notre Dame Sydney,6.8,The University of Melbourne,6.799,,,,,,,,,,,3rd,0,0.0,No,0.0,0.0,0.0,0
215,Non-Rural,68,71,68,The University of Melbourne,7,,,,,,,,,,,,,4th,0,0.0,Yes,0.0,0.0,0.0,0
216,Non-Rural,80,65,59,,,The University of Wollongong,6.313,Deakin University,6.313,The University of Notre Dame Sydney,6.313,,,,,,,4th,4,Did not apply,0.0,0.0,0.0,0.0,2
217,Non-Rural,71,69,76,The University of Queensland (Greater Brisbane),7,,,,,,,,,,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
218,Non-Rural,68,73,54,The University of Notre Dame Fremantle,6.677,,,,,,,,,,,,,3rd,0,0.0,0.0,0.0,0.0,0.0,0
219,No   ural,60,68,66,,,The University of Queensland (Greater Brisbane),6.789,The University of Melbourne,6.804,Griffith University,6.799,The University of Notre Dame Sydney,6.799,Deakin University,6.799,The University of Wollongong,6.799,2nd,2,Did not apply,Yes,0.0,0.0,0.0,0
220,Rural,60,55,66,The University of Melbourne,7,,,,,,,,,,,,,4th,0,0.0,No,0.0,0.0,0.0,0
221,Non-Rural,70,72,70,The University of Melbourne,6.775,,,,,,,,,,,,,4th,0,0.0,No,0.0,0.0,0.0,0
222,Non-Rural,63,78,76,The University of Melbourne,6.938,,,,,,,,,,,,,0.0,0,0.0,Yes,0.0,0.0,0.0,0
223,Non-Rural,55,68,74,The University of Queensland (RMP/DDMP),7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,Tier 3,Toowoomba,0
224,Non-Rural,65,66,70,The University of Notre Dame Fremantle,6.443,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,0
225,Non-Rural,68,77,66,The University of Melbourne,6.9,,,,,,,,,,,,,0.0,0,0.0,No,0.0,0.0,0.0,0
226,Non-Rural,57,56,65,The University of Melbourne,6.021,,,,,,,,,,,,,0.0,0,0.0,Yes,0.0,0.0,0.0,0
227,Non-Rural,63,80,65,The University of Queensland (Greater Brisbane),7,The University of Notre Dame Sydney,6.257,,,The University of Wollongong,,Deakin University,,The University of Notre Dame Fremantle,,The University of Western Australia,,4th,4,Did not apply,0.0,0.0,0.0,0.0,4
228,Non-Rural,77,68,84,Griffith University,6.23,,,,,,,,,,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
229,Rural,59,58,69,The University of Notre Dame Sydney,6.219,,,,,,,,,,,,,3rd,0,0.0,0.0,0.0,0.0,0.0,0
230,Rural,60,70,63,The University of Queensland (Greater Brisbane),6.8,,,,,,,,,,,,,4th,0,0.0,0.0,0.0,0.0,0.0,0
231,Non-Rural,60,65,63,The University of Wollongong,6.69,,,,,,,,,,,,,4th,0,0.0,0.0,0.0,0.0,0.0,2
232,Non-Rural,68,61,74,,,The University of Queensland (Greater Brisbane),6.3,Griffith University,6.3,The University of Melbourne,6.3,Deakin University,6.3,The University of Western Australia,6.3,Australian National University,6.3,0.0,0,Did not apply,No,0.0,0.0,0.0,0
233,No   ural,60,65,64,The University of Queensland (Greater Brisbane),7,Deakin University,6.656,,,,,,,,,,,3rd,8,Did not apply,0.0,0.0,0.0,0.0,0
234,Non-Rural,64,78,69,The University of Melbourne,6.88,,,,,,,,,,,,,0.0,0,0.0,No,0.0,0.0,0.0,0
235,Non-Rural,62,70,90,The University of Melbourne,6.73,,,,,,,,,,,,,0.0,0,0.0,No,0.0,0.0,0.0,0
236,Rural,67,73,62,Griffith University,7,,,,,,,,,,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
237,Non-Rural,59,76,52,The University of Notre Dame Sydney,6.854,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2nd,0,0.0,0.0,0.0,0.0,0.0,0
238,Non-Rural,60,73,67,The University of Melbourne,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4th,0,0.0,No,0.0,0.0,0.0,0
239,Non-Rural,61,67,80,The University of Melbourne,6.808,,,,,,,,,,,0.0,,4th,0,0.0,No,0.0,0.0,0.0,0
240,Non-Rural,66,81,62,The University of Notre Dame Sydney,6.71,,,,,,,,,,,0.0,,Ast,0,0.0,0.0,0.0,0.0,0.0,0
241,Non-Rural,65,67,73,The University of Notre Dame Sydney,6.84,,,,,,,,,,,0.0,,Ast,0,0.0,0.0,0.0,0.0,0.0,0
242,Non-Rural,65,74,79,The University of Queensland (Greater Brisbane),7,,,,,,,,,,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,0
243,Non-Rural,65,67,75,Deakin University,6.979,,,,,,,,,,,0.0,,0.0,0,Did not apply,0.0,0.0,0.0,0.0,0
244,Non-Rural,66,67,70,The University of Western Australia,7,,,,,,,,,,,0.0,,Ast,0,0.0,0.0,0.0,0.0,0.0,0
245,Non-Rural,64,69,62,The University of Western Australia,6.927,Australian National University,6.932,Griffith University,6.927,,,,,,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
246,Non-Rural,59,57,65,,,The University of Wollongong,64,The University of Notre Dame Sydney,64,Australian National University,64,Macquarie University,64,Deakin University,65,0.0,,4th,0,Did not apply,0.0,0.0,0.0,0.0,2
247,No   ural,65,56,86,The University of Notre Dame Sydney,6.9,,,,,,,,,,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,0
248,Rural,63,68,78,The University of Melbourne,5.85,,,,,,,,,,,0.0,,0.0,0,0.0,Yes,0.0,0.0,0.0,0
249,Non-Rural,73,72,74,The University of Melbourne,6.79,,,,,,,,,,,0.0,,0.0,0,0.0,No,0.0,0.0,0.0,0
250,Non-Rural,59,60,53,The University of Notre Dame Sydney,6.3,,,,,,,,,,,0.0,,2nd,0,0.0,0.0,0.0,0.0,0.0,0
251,Non-Rural,71,81,100,The University of Melbourne,6.3,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,No,0.0,0.0,0.0,0
252,Rural,58,58,60,The University of Queensland (RMP/DDMP),6.719,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,Tier 1 (CQ/WB),Rockhampton,0
253,Non-Rural,61,79,69,The University of Western Australia,6.979,,,,,0.0,,0.0,,0.0,,0.0,,3rd,0,0.0,0.0,0.0,0.0,0.0,0
254,Non-Rural,62,78,86,The University of Melbourne,6.83,,,,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,No,0.0,0.0,0.0,0
255,Non-Rural,55,50,1,Australian National University,6.97,The University of Melbourne,6.97,,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,No,0.0,0.0,0.0,0
256,Non-Rural,61,66,62,The University of Notre Dame Sydney,7,The University of Wollongong,7,,,0.0,,0.0,,0.0,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,4
257,Non-Rural,57,56,58,,,The University of Notre Dame Fremantle,6.92,The University of Western Australia,6.89,0.0,,0.0,,0.0,,0.0,,3rd,0,0.0,0.0,0.0,0.0,0.0,0
