THIS FORM IS ONLY FOR:,Year of graduation:,I received an offer from:,Do you have a prior qualification with the same university?:,Preference number of the above university (1st ... 6th):,What was your first preference?:,I interviewed at:,Offer Type (please change):,GPA (as calculated by the university making the offer):,Weighted Average Mark (Monash only):,GAMSAT Section 1 score:,GAMSAT Section 2 score:,GAMSAT Section 3 score:,Overall GAMSAT (as calculated by the university making the offer):,MCAT 8/8/M/8 or other score:,Score type:,Undergraduate degree:,Residency status in Australia:,Highest post graduate qualification?:,Rural candidate?:,Deakin University bonus (total %):,Flinders University candidates only:,Flinders University NT Medical Program (NTMP) applicant?:,University of Melbourne Graduate Access applicant?:,What kind of doctor I want to be when I grow up:
Medical Student,2025,Deakin University,Yes,1,Deakin University,Deakin University,CSP,6.99,-,60,64,77,69,,GAMSAT,Biomedicine,Local,None,No,8,Non-Flinders degree holder,No,No,FACSP: Sport and Exercise Medicine
Medical Student,2025,University of Notre Dame Sydney,No,1,University of Notre Dame Sydney,University of Notre Dame Sydney,FFP,6.22,-,68,79,80,76,,GAMSAT,Bachelor of Medical Science,International,None,No,0,Non-Flinders degree holder,No,Yes,FRACP: Paediatric Emergency Medicine
Medical Student,2025,University of Melbourne,No,2,Australian National University,Australian National University,CSP,6.9,-,69,82,62,71,,GAMSAT,Bachelor of Science,Local,None,No,0,Non-Flinders degree holder,No,No,FRACP: Haematology
Medical Student,2025,University of Notre Dame Sydney,No,1,University of Notre Dame Sydney,University of Notre Dame Sydney,CSP,6.87,-,63,71,56,63,,GAMSAT,Optometry,Local,None,No,2,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Notre Dame Sydney,No,1,University of Notre Dame Sydney,University of Notre Dame Sydney,CSP,6.87,-,63,71,56,63,,GAMSAT,Optometry,Local,None,No,2,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Notre Dame Sydney,No,1,University of Notre Dame Sydney,University of Notre Dame Sydney,CSP,6.87,-,63,71,56,63,,GAMSAT,Optometry,Local,None,No,2,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Wollongong,No,1,University of Wollongong,University of Wollongong,CSP,5.75,-,69,62,56,61,,GAMSAT,BA,Local,None,Yes,8,Non-Flinders degree holder,No,No,FRANCZP: Psychiatry
Medical Student,2025,University of Notre Dame Sydney,No,1,University of Notre Dame Sydney,University of Notre Dame Sydney,CSP,6.63,-,61,75,81,74,,GAMSAT,BBiotech(Hons),Local,PhD,Yes,0,Non-Flinders degree holder,No,No,FRACP: Cardiology
Medical Student,2025,University of Melbourne,Yes,1,University of Melbourne,University of Melbourne,CSP,6.73,-,65,82,78,75,,GAMSAT,Biomed,Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Wollongong,No,1,University of Wollongong,University of Wollongong,CSP,5.8,-,66,74,65,68,,GAMSAT,Bachelor of Medical Science,Local,Masters (coursework),No,4,Non-Flinders degree holder,No,No,FANZCA: Anaesthesia
Medical Student,2025,Macquarie University,No,6,Deakin University,Macquarie University,FFP,6.6,-,68,65,71,69,,GAMSAT,Bachelor of Biomedicine,Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Queensland,No,4,University of Melbourne,University of Queensland,CSP,7,-,63,64,69,65,,GAMSAT,Bachelor of Science (Honours),Local,Honours,No,2,Flinders University degree holder,No,Yes,FRANZCOG: Obstetrics and Gynaecology
Medical Student,2025,University of Queensland,Yes,1,University of Queensland,University of Queensland,CSP,7,-,57,62,64,61,,GAMSAT,BBiimed SC (honours),Local,Honours,Yes,0,Non-Flinders degree holder,No,No,FRACP: Medical Oncology
Medical Student,2025,University of Notre Dame Sydney,No,1,University of Notre Dame Sydney,University of Notre Dame Sydney,FFP,6.81,-,65,68,55,62,,GAMSAT,Bachelor of Psych (Honours),Local,Honours,No,0,Non-Flinders degree holder,No,No,FRANCZP: Psychiatry
Medical Student,2025,University of Notre Dame Fremantle,No,2,Deakin University,University of Notre Dame Fremantle,BMP,6.91,-,54,77,62,64,,GAMSAT,Bachelor of Applied Science,Local,Honours,No,4,Non-Flinders degree holder,Yes,Yes,Guitar rock star
Medical Student,2025,University of Notre Dame Sydney,No,2,Australian National University,University of Notre Dame Sydney,FFP,6.58,-,63,55,81,66,,GAMSAT,BPsych (Hons),Local,Masters (research),No,0,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,Griffith University,No,1,Griffith University,Griffith University,CSP,6.77,-,65,65,78,71,,GAMSAT,BSc UQ,International,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,CSP,6.94,-,73,66,82,74,,GAMSAT,Biomed,Local,None,No,0,Non-Flinders degree holder,No,No,FRACS: General Surgery
Medical Student,2025,University of Melbourne,Yes,1,University of Melbourne,University of Melbourne,CSP,7,-,61,75,72,69,,GAMSAT,Science,Local,None,No,0,Non-Flinders degree holder,No,No,FRACS: Neurosurgery Surgery
Medical Student,2025,Australian National University,No,2,University of Melbourne,University of Sydney,FFP,6.5,-,63,80,62,68,,GAMSAT,Biomedicine,Local,Masters (coursework),Yes,0,Non-Flinders degree holder,No,Yes,FRACP: Medical Oncology
Medical Student,2025,University of Notre Dame Sydney,No,2,University of Wollongong,University of Notre Dame Sydney,CSP,6.22,-,69,73,57,66,,GAMSAT,BSc,Local,None,No,0,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,Griffith University,No,2,University of Queensland,University of Queensland,CSP,6.8,-,63,65,86,75,,GAMSAT,Bachelor of Pharmaceutics and Therapeutic Science,Local,None,No,0,Non-Flinders degree holder,No,No,FCICM: Intensive Care Medicine
Medical Student,2025,Australian National University,No,1,Australian National University,Australian National University,CSP,6.83,-,72,66,84,77,,GAMSAT,Bachelor of Medical Science,Local,None,No,0,Non-Flinders degree holder,No,No,FAChSHM: Sexual Health medicine
Medical Student,2025,University of Queensland,No,2,Griffith University,University of Queensland,BMP,6.73,-,56,54,64,58,,GAMSAT,Biomed,International,Masters (coursework),Yes,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Queensland,No,1,University of Queensland,University of Queensland,CSP,7,-,61,81,65,69,,GAMSAT,BBioMedSci (hons),Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Melbourne,Yes,1,University of Melbourne,University of Melbourne,CSP,6.88,-,60,73,75,69,,GAMSAT,Bachelor of Biomedicine,Local,Honours,No,2,Non-Flinders degree holder,No,No,FRACP: Neurology
Medical Student,2025,Griffith University,No,1,Griffith University,Griffith University,BMP,7,-,64,52,64,61,,GAMSAT,BioMed,Local,None,Yes,0,Non-Flinders degree holder,No,No,FRACS: General Surgery
Medical Student,2025,University of Notre Dame Sydney,No,4,University of Melbourne,University of Notre Dame Sydney,CSP,6.58,-,75,74,59,69,,GAMSAT,Bachelor of Psychological Science,Local,Honours,No,0,Non-Flinders degree holder,No,No,FRANCZP: Psychiatry
Medical Student,2025,University of Notre Dame Sydney,No,1,University of Notre Dame Sydney,University of Notre Dame Sydney,FFP,6.21,-,71,72,83,75,,GAMSAT,Exercise & Sports Science,Local,Masters (coursework),No,0,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,University of Queensland,No,1,University of Queensland,University of Queensland,CSP,7,-,67,81,76,75,,GAMSAT,Medical Science (Hons),Local,Honours,No,0,Non-Flinders degree holder,No,No,FRACS: General Surgery
Medical Student,2025,University of Melbourne,Yes,1,University of Melbourne,University of Melbourne,CSP,6.9,-,N/A,N/A,N/A,N/A,,GAMSAT,Science,Local,None,No,0,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,University of Queensland,No,1,University of Queensland,University of Queensland,BMP,6.95,-,59,87,67,71,,GAMSAT,Science,Local,None,No,0,Non-Flinders degree holder,No,No,FRACP: General Paediatrics
Medical Student,2025,University of Notre Dame Sydney,No,2,University of Melbourne,University of Notre Dame Sydney,CSP,6.58,-,67,81,54,64,,GAMSAT,Bachelor of Arts,Local,None,No,0,Non-Flinders degree holder,No,No,FAFPHM: Public Health Medicine
Medical Student,2025,University of Notre Dame Sydney,No,1,University of Melbourne,University of Notre Dame Sydney,CSP,6.91,-,61,65,69,66,,GAMSAT,B.Sc (Hons),Local,Honours,No,0,Non-Flinders degree holder,No,No,FANZCA: Anaesthesia
Medical Student,2025,University of Melbourne,Yes,1,University of Melbourne,University of Melbourne,FFP,6.88,-,69,78,77,74,,GAMSAT,BSc,Local,Honours,No,0,Non-Flinders degree holder,No,No,FRACS: Cardio-thoracic Surgery
Medical Student,2025,Griffith University,No,1,Griffith University,Griffith University,BMP,6.37,-,79,68,62,68,,GAMSAT,Science,Local,Honours,Yes,0,Non-Flinders degree holder,No,No,FACRRM: Rural and Remote Medicine (General Practice)
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,CSP,6.9,-,63,67,81,70,,GAMSAT,Biomedical Science,Local,None,No,0,Non-Flinders degree holder,No,No,FRACP: Cardiology
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,CSP,7,N/A,71,61,97,82,,GAMSAT,Biomedicine,Local,None,No,2,Non-Flinders degree holder,No,Yes,Guitar rock star
Medical Student,2025,University of Melbourne,Yes,1,University of Melbourne,University of Melbourne,CSP,6.95,-,75,71,77,75,,GAMSAT,Science,International,Masters (coursework),No,0,Non-Flinders degree holder,No,No,FRACS: Neurosurgery Surgery
Medical Student,2025,University of Sydney,No,1,University of Notre Dame Fremantle,University of Notre Dame Fremantle,CSP,6.55,-,71,87,63,74,,GAMSAT,BSc,Local,Masters (coursework),No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Notre Dame Sydney,No,6,Griffith University,University of Notre Dame Sydney,CSP,6.51,-,57,79,72,70,,GAMSAT,Biomed,Local,None,No,0,Non-Flinders degree holder,No,No,FANZCA: Anaesthesia
Medical Student,2025,University of Melbourne,Yes,1,University of Melbourne,University of Melbourne,CSP,6.96,-,75,73,73,74,,GAMSAT,Science,Local,Honours,No,0,Non-Flinders degree holder,No,No,FRACP: General Paediatrics
Medical Student,2025,University of Queensland,Yes,1,University of Queensland,University of Queensland,CSP,7,-,76,82,74,77,,GAMSAT,BSc - Zoology,Local,PhD,No,0,Non-Flinders degree holder,No,No,FRACS: Otolaryngology - Head and Neck Surgery
Medical Student,2025,University of Wollongong,Yes,1,University of Wollongong,University of Wollongong,CSP,7,-,58,72,77,71,,GAMSAT,"Bachelore of Pre-Medicine, Science and Health",Local,None,No,0,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,University of Queensland,No,1,University of Queensland,University of Queensland,BMP,6.2,-,74,80,80,78,,GAMSAT,Pharmacy,Local,None,No,0,Non-Flinders degree holder,No,No,FRACP: Cardiology
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,CSP,6.78,-,59,76,79,72,,GAMSAT,Science,Local,None,Yes,2,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,Deakin University,No,2,University of Melbourne,University of Melbourne,BMP,6.89,-,65,63,95,79,,GAMSAT,Biomedicine,Local,None,No,2,Non-Flinders degree holder,No,No,FRACP: Neurology
Medical Student,2025,University of Wollongong,Yes,2,Australian National University,Australian National University,CSP,7,-,53,63,69,64,,GAMSAT,"Bachelor of Pre-Medicine, Science and Health",Local,None,Yes,0,Non-Flinders degree holder,No,No,FRANZCR: Diagnostic Radiology
Medical Student,2025,University of Wollongong,No,2,Deakin University,Deakin University,BMP,6,-,69,66,54,61,,GAMSAT,B Psych Sci,Local,None,Yes,16,Non-Flinders degree holder,No,Yes,FRACP: Neurology
Medical Student,2025,University of Wollongong,No,4,University of Sydney,University of Wollongong,CSP,6.34,-,64,75,78,74,,GAMSAT,Bachelor of Science,Local,None,No,0,Non-Flinders degree holder,No,No,FRCPA: Immunology Pathology
Medical Student,2025,University of Notre Dame Sydney,No,1,University of Notre Dame Sydney,University of Notre Dame Sydney,BMP,6.75,-,65,66,80,70,,GAMSAT,Medical Sciences,Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Wollongong,Yes,1,University of Wollongong,University of Wollongong,CSP,5.91,-,65,66,72,69,,GAMSAT,Bachelor of Nutrition and Dietetics,Local,None,Yes,0,Non-Flinders degree holder,No,No,FRACS: General Surgery
Medical Student,2025,University of Melbourne,Yes,1,University of Melbourne,University of Melbourne,CSP,6.2,-,70,65,86,74,,GAMSAT,Bachelor of Science,Local,None,No,0,Non-Flinders degree holder,No,Yes,FRACS: Paediatric Surgery
Medical Student,2025,Deakin University,Yes,1,Deakin University,Deakin University,CSP,6.9,-,65,67,77,71,,GAMSAT,Biomed,Local,None,Yes,10,Non-Flinders degree holder,No,No,FRACP: General Medicine
Medical Student,2025,Griffith University,No,2,University of Melbourne,Griffith University,CSP,7,-,63,65,70,67,,GAMSAT,Mes Science,Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Notre Dame Sydney,No,1,University of Sydney,University of Notre Dame Sydney,FFP,6.95,-,67,65,78,70,,GAMSAT,Bachelor of Science (Honours),Local,None,No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Notre Dame Sydney,No,1,University of Sydney,University of Notre Dame Sydney,FFP,6.95,-,67,65,78,70,,GAMSAT,Bachelor of Science (Honours),Local,None,No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Queensland,No,4,University of Melbourne,University of Queensland,CSP,7,-,73,68,73,71,,GAMSAT,BSc,Local,Honours,No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,CSP,5.13,-,69,79,86,78,,GAMSAT,Biomed,Local,PhD,No,0,Non-Flinders degree holder,No,No,FACSP: Sport and Exercise Medicine
Medical Student,2025,Deakin University,Yes,1,Deakin University,Deakin University,CSP,7,-,56,63,66,63,,GAMSAT,Bachelor of Biomedical Science,International,None,Yes,10,Non-Flinders degree holder,No,No,FRACP: Paediatric Emergency Medicine
Medical Student,2025,University of Wollongong,No,4,University of Sydney,University of Wollongong,CSP,6.34,-,64,75,78,74,,GAMSAT,Bachelor of Science,Local,None,No,0,Non-Flinders degree holder,No,No,FRCPA: Immunology Pathology
Medical Student,2025,University of Sydney,No,3,Deakin University,Deakin University,CSP,6.13,-,61,68,55,60,,GAMSAT,Bachelor of Biomedical Science,Local,None,Yes,10,Non-Flinders degree holder,No,No,FRACS: Orthopaedic Surgery
Medical Student,2025,Macquarie University,No,1,Macquarie University,Macquarie University,FFP,6.92,-,64,57,77,68,,GAMSAT,Medical Science,Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,Macquarie University,No,1,Macquarie University,Macquarie University,FFP,6.92,-,64,57,77,68,,GAMSAT,Medical Science,Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Notre Dame Fremantle,No,2,University of Western Australia,University of Notre Dame Fremantle,BMP,6.03,-,61,59,70,65,,GAMSAT,Bachelor of Mechanical Engineering (Honours),Local,Honours,Yes,8,Non-Flinders degree holder,No,No,FRANZCR: Diagnostic Radiology
Medical Student,2025,University of Notre Dame Sydney,No,1,University of Notre Dame Sydney,University of Notre Dame Sydney,FFP,4.99,-,65,81,56,67,,GAMSAT,Arts/Science (psychology),International,None,No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Notre Dame Sydney,No,1,University of Notre Dame Sydney,University of Notre Dame Sydney,FFP,6.74,-,65,81,56,67,,GAMSAT,Arts/Science (psychology),International,None,No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Notre Dame Fremantle,No,1,University of Notre Dame Fremantle,University of Notre Dame Fremantle,BMP,6.1,-,66,74,81,74,,GAMSAT,BSc,International,None,No,0,Non-Flinders degree holder,No,No,FRACP: General Paediatrics
Medical Student,2025,University of Notre Dame Sydney,No,1,University of Notre Dame Sydney,University of Notre Dame Sydney,CSP,6.61,-,61,70,68,66,,GAMSAT,B. Med Sci,International,None,No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Notre Dame Sydney,No,1,University of Notre Dame Sydney,University of Notre Dame Sydney,CSP,6.61,-,61,70,68,66,,GAMSAT,B. Med Sci,International,None,No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Notre Dame Sydney,No,1,University of Notre Dame Sydney,University of Notre Dame Sydney,BMP,6.12,-,62,59,67,63,,GAMSAT,Jazz trumpet - bachelor of music,Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,Deakin University,Yes,1,Deakin University,Deakin University,CSP,7,-,72,68,72,71,,GAMSAT,B. Biomed & B. Psych (hons),Local,Honours,Yes,14,Non-Flinders degree holder,No,No,FRACP: Neurology
Medical Student,2025,University of Melbourne,Yes,1,University of Melbourne,University of Melbourne,CSP,6.69,-,60,76,66,67,,GAMSAT,Bachelor of Biomedicine,Local,None,Yes,4,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,University of Melbourne,Yes,1,University of Melbourne,University of Melbourne,CSP,6.69,-,60,76,66,67,,GAMSAT,Bachelor of Biomedicine,Local,None,Yes,4,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,University of Melbourne,Yes,1,University of Melbourne,University of Melbourne,BMP,6.87,-,68,57,82,72,,GAMSAT,Science (genetics and maths),Local,Masters (coursework),Yes,4,Non-Flinders degree holder,No,No,FAFPHM: Public Health Medicine
Medical Student,2025,Deakin University,No,1,Deakin University,Deakin University,CSP,5.92,-,70,81,69,72,,GAMSAT,Bachelor of Science (Biological Science),Local,None,Yes,8,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,Deakin University,No,1,Deakin University,Deakin University,CSP,5.5,-,61,62,62,62,,GAMSAT,BPharm,International,None,Yes,14,Parallel Rural Community Curriculum (PRCC),No,Yes,Guitar rock star
Medical Student,2025,Deakin University,Yes,1,Deakin University,Deakin University,CSP,7,-,51,70,85,73,,GAMSAT,Science,Local,None,No,6,Non-Flinders degree holder,No,No,FACRRM: Rural and Remote Medicine (General Practice)
Medical Student,2025,Deakin University,No,2,University of Melbourne,University of Melbourne,BMP,6.8,-,63,66,87,76,,GAMSAT,Bachelor of Arts,International,Honours,No,0,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,Deakin University,No,2,University of Melbourne,University of Melbourne,CSP,6.76,-,61,63,98,80,,GAMSAT,Biomed,International,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Wollongong,Yes,2,University of Notre Dame Sydney,University of Wollongong,CSP,5.78,-,70,73,83,77,,GAMSAT,B. Science (Cell & Molecular Bio),Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,Deakin University,Yes,2,University of Melbourne,University of Melbourne,CSP,7,-,67,70,68,68,,GAMSAT,Biomed,Local,None,No,6,Non-Flinders degree holder,No,No,FRACP: Cardiology
Medical Student,2025,University of Queensland,Yes,2,Griffith University,University of Queensland,BMP,6.95,-,64,65,68,65,,GAMSAT,Veterinary Science,Local,None,No,2,Non-Flinders degree holder,No,No,FRACS: Neurosurgery Surgery
Medical Student,2025,University of Queensland,Yes,2,Griffith University,University of Queensland,BMP,6.95,-,64,65,68,65,,GAMSAT,Veterinary Science,Local,None,No,2,Non-Flinders degree holder,No,No,FRACS: Neurosurgery Surgery
Medical Student,2025,University of Notre Dame Sydney,No,1,University of Notre Dame Sydney,University of Notre Dame Sydney,CSP,6.5,-,60,80,60,65,,GAMSAT,Science,Local,PhD,No,0,Non-Flinders degree holder,No,No,FRACP: Neurology
Medical Student,2025,University of Queensland,No,1,University of Queensland,University of Queensland,CSP,7,-,61,61,76,66,,GAMSAT,BS INT (MCDB),Local,Honours,No,0,Non-Flinders degree holder,No,No,FRACP: Medical Oncology
Medical Student,2025,University of Melbourne,Yes,1,University of Melbourne,University of Melbourne,CSP,6.12,-,82,80,85,82,,GAMSAT,"Mount Holyoke College, Stand-alone Honours at UniMelb",Local,Honours,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Queensland,No,1,University of Queensland,University of Queensland,BMP,7,-,67,82,64,71,,GAMSAT,BSc (Hons),Local,Honours,No,0,Non-Flinders degree holder,No,No,FRANZCR: Diagnostic Radiology
Medical Student,2025,University of Notre Dame Sydney,No,2,University of Wollongong,University of Wollongong,FFP,6.11,-,62,71,72,69,,GAMSAT,Bachelor of Biomedical Science (Hons),Local,Honours,No,4,Non-Flinders degree holder,No,No,FRACS: Urology
Medical Student,2025,Macquarie University,No,2,University of Notre Dame Sydney,Macquarie University,FFP,6.99,-,59,64,69,65,,GAMSAT,B. Pharm,Local,None,No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Queensland,No,4,University of Melbourne,University of Queensland,CSP,7,-,64,76,78,73,,GAMSAT,Physiotherapy,Local,Masters (research),No,0,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,Griffith University,No,5,University of Melbourne,University of Queensland,CSP,6.89,-,66,60,80,71,,GAMSAT,Biomedical Science,Local,None,No,0,Non-Flinders degree holder,No,No,FRACP: Cardiology
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,CSP,6.95,-,N/A,N/A,N/A,70,,GAMSAT,Bachelor of Biomedical Science,Local,None,Yes,0,Non-Flinders degree holder,No,Yes,FRCPA: Immunology Pathology
Medical Student,2025,Deakin University,No,2,University of Melbourne,University of Melbourne,FFP,6.83,-,63,71,83,75,,GAMSAT,Bachelor of science (physiology),Local,None,No,0,Flinders University degree holder,No,Yes,FRANZCOG: Obstetrics and Gynaecology
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,BMP,6.65,-,69,67,84,73,,GAMSAT,Medical Science,Local,None,No,0,Non-Flinders degree holder,No,Yes,FRACP: Gastroenterology and Hepatology
Medical Student,2025,University of Notre Dame Sydney,No,5,Griffith University,University of Notre Dame Sydney,CSP,6.5,-,60,68,71,67,,GAMSAT,Bachelor of Education,Local,Masters (coursework),No,2,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Queensland,No,1,University of Queensland,University of Queensland,BMP,7,-,59,69,85,71,,GAMSAT,BSc (Honours),Local,Honours,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Queensland,No,1,University of Queensland,University of Queensland,FFP,7,-,60,77,80,72,,GAMSAT,BSc Biomed (Hons),Local,PhD,No,0,Non-Flinders degree holder,No,No,FRACP: Respiratory and Sleep medicine
Medical Student,2025,Australian National University,No,5,University of Notre Dame Sydney,Australian National University,FFP,6.78,-,70,66,73,70,,GAMSAT,BMedSci (Hons),Local,Honours,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,Australian National University,No,6,Griffith University,Australian National University,CSP,6.98,-,61,68,69,67,,GAMSAT,Health and Medical Sciences (advanced),International,Honours,No,0,Flinders University degree holder,No,No,FRACS: Neurosurgery Surgery
Medical Student,2025,Macquarie University,No,5,University of Notre Dame Sydney,Macquarie University,FFP,6.75,N/A,59,74,70,68,N/A,GAMSAT,BBiomedSc,Local,None,No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Notre Dame Fremantle,No,1,University of Notre Dame Fremantle,University of Notre Dame Fremantle,BMP,6.25,-,63,78,77,72,,GAMSAT,BSc Chemistry,Local,Honours,Yes,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Queensland,No,3,University of Melbourne,University of Queensland,BMP,6.7,-,59,68,71,67,,GAMSAT,B.Biomed,Local,Honours,No,0,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,University of Queensland,No,1,University of Queensland,University of Queensland,CSP,6.35,-,68,85,68,74,,GAMSAT,BEng (Civil),Local,Masters (coursework),Yes,0,Non-Flinders degree holder,No,No,FACRRM: Rural and Remote Medicine (General Practice)
Medical Student,2025,University of Queensland,No,3,University of Melbourne,University of Melbourne,BMP,7,-,68,86,80,78,,GAMSAT,Neuroscience,Local,Honours,No,2,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,Griffith University,No,1,Griffith University,Griffith University,CSP,7,-,67,61,71,68,,GAMSAT,Biomed,Local,PhD,No,0,Non-Flinders degree holder,No,No,FRACP: Neonatal/Perinatal Medicine
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,CSP,7,-,62,76,64,67,,GAMSAT,Biomedicine (Honours),Local,Honours,No,0,Non-Flinders degree holder,No,No,FRACP: Neurology
